game_id,additions,additions_count
580972,"[{'id': 990568, 'slug': 'alan-wake-2-the-lake-house', 'name': 'Alan Wake 2: The Lake House', 'released': '2024-10-22', 'tba': False, 'background_image': 'https://media.rawg.io/media/screenshots/7a4/7a40c2a2affd40d0a5935f82e6cebc5e.jpg', 'rating': 3.9, 'rating_top': 4, 'ratings': [{'id': 4, 'title': 'recommended', 'count': 38, 'percent': 74.51}, {'id': 5, 'title': 'exceptional', 'count': 6, 'percent': 11.76}, {'id': 3, 'title': 'meh', 'count': 5, 'percent': 9.8}, {'id': 1, 'title': 'skip', 'count': 2, 'percent': 3.92}], 'ratings_count': 49, 'reviews_text_count': 1, 'added': 121, 'added_by_status': {'yet': 14, 'owned': 10, 'beaten': 63, 'toplay': 28, 'dropped': 3, 'playing': 3}, 'metacritic': None, 'playtime': 0, 'suggestions_count': 56, 'updated': '2025-11-06T21:01:23', 'user_game': None, 'reviews_count': 51, 'saturated_color': '0f0f0f', 'dominant_color': '0f0f0f', 'platforms': [{'platform': {'id': 186, 'name': 'Xbox Series S/X', 'slug': 'xbox-series-x', 'image': None, 'year_end': None, 'year_start': 2020, 'games_count': 1166, 'image_background': 'https://media.rawg.io/media/games/345/3452d9d4483686c602372e0e6b3bb4cc.jpg'}, 'released_at': '2024-10-22', 'requirements_en': None, 'requirements_ru': None}, {'platform': {'id': 187, 'name': 'PlayStation 5', 'slug': 'playstation5', 'image': None, 'year_end': None, 'year_start': 2020, 'games_count': 1353, 'image_background': 'https://media.rawg.io/media/games/559/559bc0768f656ad0c63c54b80a82d680.jpg'}, 'released_at': '2024-10-22', 'requirements_en': None, 'requirements_ru': None}, {'platform': {'id': 4, 'name': 'PC', 'slug': 'pc', 'image': None, 'year_end': None, 'year_start': None, 'games_count': 558895, 'image_background': 'https://media.rawg.io/media/games/46d/46d98e6910fbc0706e2948a7cc9b10c5.jpg'}, 'released_at': '2024-10-22', 'requirements_en': None, 'requirements_ru': None}], 'parent_platforms': [{'platform': {'id': 1, 'name': 'PC', 'slug': 'pc'}}, {'platform': {'id': 2, 'name': 'PlayStation', 'slug': 'playstation'}}, {'platform': {'id': 3, 'name': 'Xbox', 'slug': 'xbox'}}], 'genres': [{'id': 4, 'name': 'Action', 'slug': 'action', 'games_count': 190861, 'image_background': 'https://media.rawg.io/media/games/942/9424d6bb763dc38d9378b488603c87fa.jpg'}], 'stores': [], 'clip': None, 'tags': [], 'esrb_rating': None, 'short_screenshots': [{'id': -1, 'image': 'https://media.rawg.io/media/screenshots/7a4/7a40c2a2affd40d0a5935f82e6cebc5e.jpg'}, {'id': 4106191, 'image': 'https://media.rawg.io/media/screenshots/7a4/7a40c2a2affd40d0a5935f82e6cebc5e.jpg'}]}, {'id': 983203, 'slug': 'alan-wake-2-night-springs', 'name': 'Alan Wake 2: Night Springs', 'released': '2024-06-08', 'tba': False, 'background_image': 'https://media.rawg.io/media/screenshots/dda/ddaa2e885569e76243e924fc7b621b42.jpg', 'rating': 4.04, 'rating_top': 4, 'ratings': [{'id': 4, 'title': 'recommended', 'count': 34, 'percent': 65.38}, {'id': 5, 'title': 'exceptional', 'count': 11, 'percent': 21.15}, {'id': 3, 'title': 'meh', 'count': 6, 'percent': 11.54}, {'id': 1, 'title': 'skip', 'count': 1, 'percent': 1.92}], 'ratings_count': 51, 'reviews_text_count': 0, 'added': 104, 'added_by_status': {'yet': 6, 'owned': 12, 'beaten': 61, 'toplay': 18, 'dropped': 3, 'playing': 4}, 'metacritic': None, 'playtime': 0, 'suggestions_count': 16, 'updated': '2025-11-06T17:11:40', 'user_game': None, 'reviews_count': 52, 'saturated_color': '0f0f0f', 'dominant_color': '0f0f0f', 'platforms': [{'platform': {'id': 4, 'name': 'PC', 'slug': 'pc', 'image': None, 'year_end': None, 'year_start': None, 'games_count': 558895, 'image_background': 'https://media.rawg.io/media/games/46d/46d98e6910fbc0706e2948a7cc9b10c5.jpg'}, 'released_at': '2024-06-08', 'requirements_en': None, 'requirements_ru': None}, {'platform': {'id': 186, 'name': 'Xbox Series S/X', 'slug': 'xbox-series-x', 'image': None, 'year_end': None, 'year_start': 2020, 'games_count': 1166, 'image_background': 'https://media.rawg.io/media/games/345/3452d9d4483686c602372e0e6b3bb4cc.jpg'}, 'released_at': '2024-06-08', 'requirements_en': None, 'requirements_ru': None}, {'platform': {'id': 187, 'name': 'PlayStation 5', 'slug': 'playstation5', 'image': None, 'year_end': None, 'year_start': 2020, 'games_count': 1353, 'image_background': 'https://media.rawg.io/media/games/559/559bc0768f656ad0c63c54b80a82d680.jpg'}, 'released_at': '2024-06-08', 'requirements_en': None, 'requirements_ru': None}], 'parent_platforms': [{'platform': {'id': 1, 'name': 'PC', 'slug': 'pc'}}, {'platform': {'id': 2, 'name': 'PlayStation', 'slug': 'playstation'}}, {'platform': {'id': 3, 'name': 'Xbox', 'slug': 'xbox'}}], 'genres': [{'id': 4, 'name': 'Action', 'slug': 'action', 'games_count': 190861, 'image_background': 'https://media.rawg.io/media/games/942/9424d6bb763dc38d9378b488603c87fa.jpg'}], 'stores': [], 'clip': None, 'tags': [], 'esrb_rating': None, 'short_screenshots': [{'id': -1, 'image': 'https://media.rawg.io/media/screenshots/dda/ddaa2e885569e76243e924fc7b621b42.jpg'}, {'id': 4052550, 'image': 'https://media.rawg.io/media/screenshots/dda/ddaa2e885569e76243e924fc7b621b42.jpg'}]}]",2
388309,"[{'id': 1011642, 'slug': 'diablo-iv-vessel-of-hatred', 'name': 'Diablo IV: Vessel Of Hatred', 'released': '2024-10-07', 'tba': False, 'background_image': None, 'rating': 0.0, 'rating_top': 0, 'ratings': [], 'ratings_count': 0, 'reviews_text_count': 0, 'added': 1, 'added_by_status': {'beaten': 1}, 'metacritic': None, 'playtime': 0, 'suggestions_count': 0, 'updated': '2025-10-05T07:15:13', 'user_game': None, 'reviews_count': 0, 'community_rating': 0, 'saturated_color': '0f0f0f', 'dominant_color': '0f0f0f', 'platforms': [{'platform': {'id': 187, 'name': 'PlayStation 5', 'slug': 'playstation5', 'image': None, 'year_end': None, 'year_start': 2020, 'games_count': 1353, 'image_background': 'https://media.rawg.io/media/games/559/559bc0768f656ad0c63c54b80a82d680.jpg'}, 'released_at': '2024-10-07', 'requirements_en': None, 'requirements_ru': None}, {'platform': {'id': 186, 'name': 'Xbox Series S/X', 'slug': 'xbox-series-x', 'image': None, 'year_end': None, 'year_start': 2020, 'games_count': 1166, 'image_background': 'https://media.rawg.io/media/games/345/3452d9d4483686c602372e0e6b3bb4cc.jpg'}, 'released_at': '2024-10-07', 'requirements_en': None, 'requirements_ru': None}, {'platform': {'id': 4, 'name': 'PC', 'slug': 'pc', 'image': None, 'year_end': None, 'year_start': None, 'games_count': 558895, 'image_background': 'https://media.rawg.io/media/games/46d/46d98e6910fbc0706e2948a7cc9b10c5.jpg'}, 'released_at': '2024-10-07', 'requirements_en': None, 'requirements_ru': None}], 'parent_platforms': [{'platform': {'id': 1, 'name': 'PC', 'slug': 'pc'}}, {'platform': {'id': 2, 'name': 'PlayStation', 'slug': 'playstation'}}, {'platform': {'id': 3, 'name': 'Xbox', 'slug': 'xbox'}}], 'genres': [{'id': 4, 'name': 'Action', 'slug': 'action', 'games_count': 190861, 'image_background': 'https://media.rawg.io/media/games/942/9424d6bb763dc38d9378b488603c87fa.jpg'}, {'id': 5, 'name': 'RPG', 'slug': 'role-playing-games-rpg', 'games_count': 61619, 'image_background': 'https://media.rawg.io/media/games/ee3/ee3e10193aafc3230ba1cae426967d10.jpg'}], 'stores': [], 'clip': None, 'tags': [], 'esrb_rating': None, 'short_screenshots': []}]",1
793647,[],0
662316,[],0
605674,"[{'id': 997552, 'slug': 'lies-of-p-overture', 'name': 'Lies of P: Overture', 'released': '2025-06-07', 'tba': False, 'background_image': 'https://media.rawg.io/media/screenshots/8b3/8b3000e4e5320957018b52cd7a6e960e.jpg', 'rating': 4.37, 'rating_top': 5, 'ratings': [{'id': 5, 'title': 'exceptional', 'count': 11, 'percent': 57.89}, {'id': 4, 'title': 'recommended', 'count': 6, 'percent': 31.58}, {'id': 3, 'title': 'meh', 'count': 1, 'percent': 5.26}, {'id': 1, 'title': 'skip', 'count': 1, 'percent': 5.26}], 'ratings_count': 17, 'reviews_text_count': 1, 'added': 110, 'added_by_status': {'yet': 16, 'owned': 14, 'beaten': 22, 'toplay': 51, 'dropped': 3, 'playing': 4}, 'metacritic': None, 'playtime': 0, 'suggestions_count': 65, 'updated': '2025-10-18T18:18:58', 'user_game': None, 'reviews_count': 19, 'saturated_color': '0f0f0f', 'dominant_color': '0f0f0f', 'platforms': [{'platform': {'id': 186, 'name': 'Xbox Series S/X', 'slug': 'xbox-series-x', 'image': None, 'year_end': None, 'year_start': 2020, 'games_count': 1166, 'image_background': 'https://media.rawg.io/media/games/345/3452d9d4483686c602372e0e6b3bb4cc.jpg'}, 'released_at': '2025-06-07', 'requirements_en': None, 'requirements_ru': None}, {'platform': {'id': 187, 'name': 'PlayStation 5', 'slug': 'playstation5', 'image': None, 'year_end': None, 'year_start': 2020, 'games_count': 1353, 'image_background': 'https://media.rawg.io/media/games/559/559bc0768f656ad0c63c54b80a82d680.jpg'}, 'released_at': '2025-06-07', 'requirements_en': None, 'requirements_ru': None}, {'platform': {'id': 4, 'name': 'PC', 'slug': 'pc', 'image': None, 'year_end': None, 'year_start': None, 'games_count': 558895, 'image_background': 'https://media.rawg.io/media/games/46d/46d98e6910fbc0706e2948a7cc9b10c5.jpg'}, 'released_at': '2025-06-07', 'requirements_en': None, 'requirements_ru': None}], 'parent_platforms': [{'platform': {'id': 1, 'name': 'PC', 'slug': 'pc'}}, {'platform': {'id': 2, 'name': 'PlayStation', 'slug': 'playstation'}}, {'platform': {'id': 3, 'name': 'Xbox', 'slug': 'xbox'}}], 'genres': [{'id': 4, 'name': 'Action', 'slug': 'action', 'games_count': 190861, 'image_background': 'https://media.rawg.io/media/games/942/9424d6bb763dc38d9378b488603c87fa.jpg'}, {'id': 5, 'name': 'RPG', 'slug': 'role-playing-games-rpg', 'games_count': 61619, 'image_background': 'https://media.rawg.io/media/games/ee3/ee3e10193aafc3230ba1cae426967d10.jpg'}], 'stores': [], 'clip': None, 'tags': [], 'esrb_rating': None, 'short_screenshots': [{'id': -1, 'image': 'https://media.rawg.io/media/screenshots/8b3/8b3000e4e5320957018b52cd7a6e960e.jpg'}, {'id': 4160070, 'image': 'https://media.rawg.io/media/screenshots/c37/c37c96e51160f8ec7dcff52503389013.jpg'}, {'id': 4160071, 'image': 'https://media.rawg.io/media/screenshots/5dc/5dcb8e6b1cbaf4f107df19486d8af478.jpg'}, {'id': 4213584, 'image': 'https://media.rawg.io/media/screenshots/ec0/ec0634b5c3e54a49ef7f603d7b6a0ec7.jpg'}, {'id': 4219409, 'image': 'https://media.rawg.io/media/screenshots/8b3/8b3000e4e5320957018b52cd7a6e960e.jpg'}]}]",1
300682,[],0
842402,[],0
846303,[],0
309190,[],0
15272,[],0
