game_id,achievements,achievements_count
906547,"[{'id': 1723569, 'name': 'Trophy Triumph', 'description': 'Obtain all other trophies', 'image': 'https://media.rawg.io/media/achievements/b1b/b1b36fd43f7378188bee8d59fb1d46e7.jpg', 'percent': '0.20'}, {'id': 1703263, 'name': ""Collector's Edition"", 'description': 'Complete all collections', 'image': 'https://media.rawg.io/media/achievements/94e/94eb84ccf409b4e25d0f507192786076.jpg', 'percent': '8.12'}, {'id': 1703267, 'name': 'The Nature of the Beast', 'description': 'Breed every type of beast', 'image': 'https://media.rawg.io/media/achievements/413/413b042468962e6813d51719ec4b7051.jpg', 'percent': '11.25'}, {'id': 1703278, 'name': ""Merlin's Beard!"", 'description': 'Complete all Merlin Trials', 'image': 'https://media.rawg.io/media/achievements/94c/94ccc311331096bdd59515655e2289cb.jpg', 'percent': '11.25'}, {'id': 1703284, 'name': 'Finishing Touches', 'description': 'Use Ancient Magic on every enemy in the game', 'image': 'https://media.rawg.io/media/achievements/9f7/9f72ed888ff3725def0952befd6f0226.jpg', 'percent': '11.54'}, {'id': 1703272, 'name': 'Savvy Spender', 'description': 'Spend all Talent Points', 'image': 'https://media.rawg.io/media/achievements/a92/a92a8644e27af91d5364d96791f7555b.jpg', 'percent': '11.97'}, {'id': 1703286, 'name': 'A Forte for Achievement', 'description': 'Reach Level 40', 'image': 'https://media.rawg.io/media/achievements/6c9/6c9e1bf212c2b1b9c128dde1ab5d8846.jpg', 'percent': '11.97'}, {'id': 1703261, 'name': 'The Good Samaritan', 'description': 'Complete all side quests', 'image': 'https://media.rawg.io/media/achievements/41d/41d193a887415d124845a80bd6b0c74c.jpg', 'percent': '14.96'}, {'id': 1703277, 'name': 'Rise to the Challenges', 'description': 'Defeat enemies in all battle arenas', 'image': 'https://media.rawg.io/media/achievements/01f/01f2e403ae9811bc88d6c8b8c1d769db.jpg', 'percent': '15.67'}, {'id': 1703281, 'name': 'Demiguise Dread', 'description': 'Find all Demiguise statues', 'image': 'https://media.rawg.io/media/achievements/cc7/cc73a0f29e886ade7e4bbd0f71a7d16b.jpg', 'percent': '16.10'}]",10
324997,"[{'id': 1768551, 'name': 'Foehammer', 'description': 'Complete the game in Honour mode.', 'image': 'https://media.rawg.io/media/achievements/7bb/7bb1b27f3beb8fdfe1109ddf831dc489.jpg', 'percent': '2.07'}, {'id': 1728051, 'name': 'Critical Hit', 'description': 'Complete the game in Tactician mode.', 'image': 'https://media.rawg.io/media/achievements/2c3/2c3a59650ef3856b739526b6c7ecd632.jpg', 'percent': '5.75'}, {'id': 1728026, 'name': 'Busker', 'description': 'Earn a hundred gold from playing sweet, sweet music in a single playthrough.', 'image': 'https://media.rawg.io/media/achievements/952/952ebbc0aaff9d202b84ab52fe96ff49.jpg', 'percent': '5.87'}, {'id': 1728014, 'name': 'Jack-of-all-Trades', 'description': 'Multiclass into every class in one playthrough without asking Withers to change your character.', 'image': 'https://media.rawg.io/media/achievements/fc8/fc839aefe64131bdea9ae560ea990f67.jpg', 'percent': '5.87'}, {'id': 1728042, 'name': 'Punch Drunk', 'description': 'Defeat twenty opponents while a party character is drunk in a single playthough - down them.', 'image': 'https://media.rawg.io/media/achievements/c43/c43cbc1f67f2a8b9956165a6a50aad16.jpg', 'percent': '6.79'}, {'id': 1728035, 'name': 'Fancy Footwork', 'description': ""Defeat Gortash in Wyrm's Rock without activating any traps."", 'image': 'https://media.rawg.io/media/achievements/b96/b96f3bb05b6eefe206b45845efd16978.jpg', 'percent': '8.17'}, {'id': 1728038, 'name': 'Crash Landing', 'description': 'In the Wyrmway, wait until the dragon is midflight, then knock it out of the sky - KAPOW.', 'image': 'https://media.rawg.io/media/achievements/461/461547dbd92ea983e6b6fbdc00805db9.jpg', 'percent': '11.85'}, {'id': 1728025, 'name': 'Kill Two Birds with One Gnome', 'description': 'Use one enemy as an improvised weapon against another.', 'image': 'https://media.rawg.io/media/achievements/bb8/bb84a422bbb609af65ce6d6da02e4e0b.jpg', 'percent': '14.96'}, {'id': 1728013, 'name': 'Outsourcing', 'description': ""Recruit a hireling. You can befriend them or use them as cannon-fodder - we won't judge."", 'image': 'https://media.rawg.io/media/achievements/223/223e86c7108a17dad476608d8e344a2e.jpg', 'percent': '20.71'}, {'id': 1728032, 'name': 'Non-invasive Procedure', 'description': 'Kill the Surgeon before he performs surgery on you in combat.', 'image': 'https://media.rawg.io/media/achievements/04c/04c4a97e205b652986cbbccf031b8c75.jpg', 'percent': '24.28'}]",10
268446,"[{'id': 1707772, 'name': 'Some men just want to watch the world burn', 'description': 'Enlist the services of an elusive explosives-expert.', 'image': 'https://media.rawg.io/media/achievements/49d/49dc341f2bbf548a24c4a95c280e2093.jpg', 'percent': '0.11'}, {'id': 1707767, 'name': 'Ascension', 'description': 'Become a perfect example of symbiotic harmony.', 'image': 'https://media.rawg.io/media/achievements/bb8/bb81931dd313d3b27a51fb52ca694220.jpg', 'percent': '0.11'}, {'id': 1707769, 'name': 'Top Brass', 'description': 'Reinforce your crew with an eminent Coalition leader.', 'image': 'https://media.rawg.io/media/achievements/ac3/ac302d8d43ed77f09c7bce66accc7a85.jpg', 'percent': '0.21'}, {'id': 1707771, 'name': 'Force for the Forceless', 'description': 'Bolster your crew by hiring a steadfast Separatist leader.', 'image': 'https://media.rawg.io/media/achievements/a6f/a6f956d2222904245816d336b17b19e1.jpg', 'percent': '0.21'}, {'id': 1707764, 'name': 'The King of Cling', 'description': 'Kill a latcher', 'image': 'https://media.rawg.io/media/achievements/809/8098475b0813b3ea0f2151ed640ba2c7.jpg', 'percent': '0.21'}, {'id': 1223662, 'name': 'Enter the Void', 'description': 'Discover the Great Void.', 'image': 'https://media.rawg.io/media/achievements/629/629a7952090c3c44dcef537107662ce9.jpg', 'percent': '0.21'}, {'id': 1707778, 'name': 'Knight in rusty armor:', 'description': 'Complete a ""rescue hostages"" -mission.', 'image': 'https://media.rawg.io/media/achievements/1a0/1a030a9f173f05dadd9923405c7a2f7e.jpg', 'percent': '0.64'}, {'id': 1707765, 'name': 'Spinal Tapped', 'description': 'Kill a giant spineling', 'image': 'https://media.rawg.io/media/achievements/4aa/4aa942f00ecc0a6aea74712ba41370f0.jpg', 'percent': '0.86'}, {'id': 1707784, 'name': 'Fight the power', 'description': 'Defeat a Coalition submarine in the campaign mode.', 'image': 'https://media.rawg.io/media/achievements/ff5/ff5cea42517ec9fbde8eefc0cc2913f6.jpg', 'percent': '0.86'}, {'id': 1707779, 'name': 'Bounty hunter', 'description': 'Complete an ""assassinate bandit leader"" -mission.', 'image': 'https://media.rawg.io/media/achievements/427/4274e6d2d89b5cd8b106e2b24ce420bf.jpg', 'percent': '0.97'}]",10
50576,"[{'id': 1852321, 'name': 'Water Sports', 'description': 'Toss the ball back and forth with the dolphin three times', 'image': 'https://media.rawg.io/media/achievements/5af/5af22888eef4993cb02b66e3b1cdf15d.jpg', 'percent': '0.27'}, {'id': 1852324, 'name': 'Hic Sunt Dracones', 'description': ""Swim beyond the underwater world's borders, ignoring warnings"", 'image': 'https://media.rawg.io/media/achievements/20c/20c7e95c0a9b6c2dd893480fe2a4af51.jpg', 'percent': '0.27'}, {'id': 1705935, 'name': 'The Necromancer', 'description': 'Talk to every dead', 'image': 'https://media.rawg.io/media/achievements/8f1/8f1fd4086e799f56bcebdd37fa8e90ed.jpg', 'percent': '1.34'}, {'id': 1852323, 'name': ""I'm here if you need to talk"", 'description': 'Talk to Terentiy', 'image': 'https://media.rawg.io/media/achievements/e37/e378481c54274910b73e19a62b67d7c1.jpg', 'percent': '1.61'}, {'id': 1852320, 'name': 'And now—CHAR-les', 'description': 'Complete the story DLC', 'image': 'https://media.rawg.io/media/achievements/92c/92c2ba890b4bc8736d5d7610546029b4.jpg', 'percent': '1.61'}, {'id': 1852319, 'name': 'Demonstration of Violence', 'description': 'Destroy the Robogirl at Chelomey', 'image': 'https://media.rawg.io/media/achievements/402/40292ed50d1f1b012bc8f737f4075afa.jpg', 'percent': '1.61'}, {'id': 1727328, 'name': 'Maximum Strength', 'description': 'Upgrade the Klusha and Secateur to max', 'image': 'https://media.rawg.io/media/achievements/a4b/a4b6cee51121d79214d1c08a38af7082_nOa1V7s.jpg', 'percent': '1.61'}, {'id': 1705907, 'name': 'The Motherland Does Not Forget its Heroes', 'description': 'Unlock all trophies', 'image': 'https://media.rawg.io/media/achievements/d06/d0695245484bf7f68151dd2baa227284.jpg', 'percent': '1.61'}, {'id': 1852322, 'name': ""You've Read the Manual!"", 'description': 'Pull yourself close to your enemy with the Whip', 'image': 'https://media.rawg.io/media/achievements/855/855bd105e805bc01bf3d976c090a5375.jpg', 'percent': '1.88'}, {'id': 1705936, 'name': 'Burning Ears', 'description': 'Find all Chirpers', 'image': 'https://media.rawg.io/media/achievements/3db/3db41f26abf2a270a4c174053a53fb48.jpg', 'percent': '2.14'}]",10
795632,"[{'id': 1734402, 'name': 'Skilled Agent', 'description': 'Complete Separate Ways on Hardcore mode or higher.', 'image': 'https://media.rawg.io/media/achievements/aef/aeff28a799fc17eaeb5e15badb351855.jpg', 'percent': '11.11'}, {'id': 1709579, 'name': 'S+ Rank Investigator', 'description': 'Complete the main story on Hardcore mode with an S+ rank.', 'image': 'https://media.rawg.io/media/achievements/7e0/7e0901f2752d81cae4a2abe8b8c33fa0.jpg', 'percent': '12.70'}, {'id': 1709583, 'name': 'Minimalist', 'description': 'Complete the main story using only knives and handguns. (Excluding specific battles.)', 'image': 'https://media.rawg.io/media/achievements/319/3191a3ee975b4ab2b99f0af30d1d7408.jpg', 'percent': '12.70'}, {'id': 1709573, 'name': 'Gun Fanatic', 'description': 'Obtain all weapons.', 'image': 'https://media.rawg.io/media/achievements/fb9/fb91e9b9518c119bbfb08aea087febaf.jpg', 'percent': '13.10'}, {'id': 1709582, 'name': 'Frugalist', 'description': 'Complete the main story without using a recovery item.', 'image': 'https://media.rawg.io/media/achievements/5e9/5e96a894909504aed65381d1bc1edda3.jpg', 'percent': '13.49'}, {'id': 1709577, 'name': 'Mission Accomplished S+', 'description': 'Complete the main story on Standard mode with an S+ rank.', 'image': 'https://media.rawg.io/media/achievements/68c/68ce8283c4fed008a62149ee00f93085.jpg', 'percent': '13.49'}, {'id': 1709584, 'name': 'Silent Stranger', 'description': 'Complete the main story without talking to the Merchant once.', 'image': 'https://media.rawg.io/media/achievements/04d/04d7a1c53a1228bfd1512518871bcee1.jpg', 'percent': '13.89'}, {'id': 1709581, 'name': 'Sprinter', 'description': 'Complete the main story within 8 hours.', 'image': 'https://media.rawg.io/media/achievements/ad6/ad65b4bbaaad3aa6f257dd583f0077d3.jpg', 'percent': '20.24'}, {'id': 1709567, 'name': 'Capacity Compliance', 'description': 'Reach the top of the clock tower without the lift stopping once.', 'image': 'https://media.rawg.io/media/achievements/fff/fffbc117a59c5d10ee03209ea40d840a.jpg', 'percent': '20.63'}, {'id': 1709562, 'name': 'Never Heard It Coming', 'description': 'Defeat a Garrador using only knives.', 'image': 'https://media.rawg.io/media/achievements/b86/b8675f2c8e0b28fc8adf061f8b80a65a.jpg', 'percent': '21.83'}]",10
58779,"[{'id': 1821532, 'name': 'Redemption Arc', 'description': 'Defeat 10 Redeemed', 'image': 'https://media.rawg.io/media/achievements/7f9/7f942cf8003700e1ac819c982dd6163c.jpg', 'percent': '0.66'}, {'id': 1821531, 'name': 'Facing Your Fears', 'description': 'Defeat 25 Vortex Horrors', 'image': 'https://media.rawg.io/media/achievements/ec9/ec91f9329a2bfde75c7666f79ba7f66a.jpg', 'percent': '0.66'}, {'id': 1821528, 'name': 'The Other Side', 'description': 'Complete “The Other Side”', 'image': 'https://media.rawg.io/media/achievements/00f/00f16ebc2c16ec9876f2ceef0ec14be5.jpg', 'percent': '0.66'}, {'id': 1821530, 'name': 'The Great Unknown', 'description': 'Discover 50 Locations on Va’ruun’kai', 'image': 'https://media.rawg.io/media/achievements/a47/a4733330dafd456f19696986625dfc8a.jpg', 'percent': '0.66'}, {'id': 1821534, 'name': 'Savior of the Promised', 'description': 'Aid the People of Va’ruun’kai', 'image': 'https://media.rawg.io/media/achievements/737/7375bbeb53b77da84fff28c96bc776a1.jpg', 'percent': '0.66'}, {'id': 1821529, 'name': 'The Scaled Citadel', 'description': 'Complete ""The Scaled Citadel""', 'image': 'https://media.rawg.io/media/achievements/52e/52ea53439331f8956b4cec00377ea491.jpg', 'percent': '0.66'}, {'id': 1821525, 'name': 'Zealous Overreach', 'description': 'Complete ""Zealous Overreach""', 'image': 'https://media.rawg.io/media/achievements/faf/faf02787aa3e5cd083a478e765f8a10a.jpg', 'percent': '0.66'}, {'id': 1821526, 'name': 'Conflict in Conviction', 'description': 'Complete ""Conflict in Conviction""', 'image': 'https://media.rawg.io/media/achievements/6df/6dfc824d0e747090e58d04602ab47021.jpg', 'percent': '0.66'}, {'id': 1821527, 'name': 'Exhuming the Past', 'description': 'Complete ""Exhuming the Past""', 'image': 'https://media.rawg.io/media/achievements/e8d/e8dff5e39715baad964c674bd01ab68c.jpg', 'percent': '0.66'}, {'id': 1821533, 'name': 'Five of a Kind', 'description': 'Craft one of each type of Vortex Grenade', 'image': 'https://media.rawg.io/media/achievements/38f/38f1056a02a03ac3b38405ca684c0616.jpg', 'percent': '0.66'}]",10
327239,[],0
638654,"[{'id': 1701591, 'name': 'Untouchable', 'description': 'Complete the game in Impossible Mode.', 'image': 'https://media.rawg.io/media/achievements/2ee/2ee7704f7b2d7b016416a023fdd36079_5OxVM1V.jpg', 'percent': '6.21'}, {'id': 1701612, 'name': 'Maxed Out', 'description': 'Fully upgrade all weapons and equipment.', 'image': 'https://media.rawg.io/media/achievements/90b/90b794949ae5f7e56d35958e5b0acc82.jpg', 'percent': '8.28'}, {'id': 1701601, 'name': 'One Gun', 'description': 'Beat the game using only the Plasma Cutter.', 'image': 'https://media.rawg.io/media/achievements/956/9565e65fa2c8288be2ba13091a9f8302_Zt8dwNL.jpg', 'percent': '8.97'}, {'id': 1701592, 'name': 'Trusted Contractor', 'description': 'Complete New Game Plus on any difficulty mode.', 'image': 'https://media.rawg.io/media/achievements/571/571f3a1eb958aef6b889b72038eee073_VxLUOxX.jpg', 'percent': '9.66'}, {'id': 1701605, 'name': 'Merchant', 'description': 'Collect all Schematics.', 'image': 'https://media.rawg.io/media/achievements/459/459e8e695f624bfbd82eaca8b99eb85e_s2TqHHV.jpg', 'percent': '10.34'}, {'id': 1701594, 'name': 'Built To Order', 'description': 'Install every weapon upgrade.', 'image': 'https://media.rawg.io/media/achievements/d7f/d7f4e251dd4b7b198b08846a5f8b292c_uV1FyIp.jpg', 'percent': '15.17'}, {'id': 1701608, 'name': 'Wishbone', 'description': 'Rip off a dangling limb using Kinesis.', 'image': 'https://media.rawg.io/media/achievements/033/033f9c9f17abf43aa41da7e368585cb1_IrnpSyX.jpg', 'percent': '20.00'}, {'id': 1701599, 'name': 'Eviscerator', 'description': 'Kill 30 enemies with the Line Gun.', 'image': 'https://media.rawg.io/media/achievements/40f/40f300267e6bf33fb450cb0be99d6fbe.jpg', 'percent': '25.52'}, {'id': 1701598, 'name': 'Pusher', 'description': 'Kill 30 enemies with the Force Gun.', 'image': 'https://media.rawg.io/media/achievements/538/538a831c11ab8150a37c56c604608233.jpg', 'percent': '26.21'}, {'id': 1701611, 'name': 'Backbreaker', 'description': 'Kill 10 enemies with a stomp attack.', 'image': 'https://media.rawg.io/media/achievements/e7b/e7b168f31e86269c869fdc4fe6193095.jpg', 'percent': '26.90'}]",10
840788,"[{'id': 1766412, 'name': 'Deep Pockets', 'description': 'Obtain a total of 50,000,000 cash', 'image': 'https://media.rawg.io/media/achievements/6cf/6cfd4d9e3f14ffc78f5925778e1932fb.jpg', 'percent': '1.20'}, {'id': 1766431, 'name': 'Fatal Florist', 'description': 'Eliminate an opponent with a flowerpot', 'image': 'https://media.rawg.io/media/achievements/32a/32a04d3308eb42cda31573e7216d1edb.jpg', 'percent': '1.54'}, {'id': 1766423, 'name': 'Dodgeball Champion', 'description': 'Hit opponents with 3 different carriables within 15 seconds', 'image': 'https://media.rawg.io/media/achievements/70e/70e44e2097c07c96738b094f3068a126.jpg', 'percent': '1.88'}, {'id': 1766409, 'name': 'Light Years', 'description': 'Win 150 rounds with a Light Build', 'image': 'https://media.rawg.io/media/achievements/7a0/7a047d297c313b7e7f669fbd7831afcb.jpg', 'percent': '1.88'}, {'id': 1766411, 'name': 'Heavy Hand', 'description': 'Win 150 rounds with a Heavy Build', 'image': 'https://media.rawg.io/media/achievements/93d/93d85176787f1237ebe153907d6a3d66.jpg', 'percent': '2.23'}, {'id': 1766418, 'name': 'Highway Patrol', 'description': 'Eliminate an opponent while you are riding a Zipline, 10 times', 'image': 'https://media.rawg.io/media/achievements/5b7/5b78910c4a7ea39ad8dd72a40cb57e9e.jpg', 'percent': '3.08'}, {'id': 1766421, 'name': 'Bombouncer', 'description': 'Eliminate an opponent by bouncing a grenade on a Jump Pad', 'image': 'https://media.rawg.io/media/achievements/98b/98b4bf713ba288cda964c6ddc1ea3e67.jpg', 'percent': '3.25'}, {'id': 1766410, 'name': 'Medium Rare', 'description': 'Win 150 rounds with a Medium Build', 'image': 'https://media.rawg.io/media/achievements/38e/38eff5d219885c6413bcc54c52aa04a1.jpg', 'percent': '3.60'}, {'id': 1766432, 'name': 'Charitable Donation', 'description': 'Eliminate an opponent with a cash box', 'image': 'https://media.rawg.io/media/achievements/72d/72d27a7a7d9d90dcda6bd3a5a9f1a3f6.jpg', 'percent': '3.60'}, {'id': 1766424, 'name': 'Clip And Slide', 'description': 'Eliminate an opponent with a headshot while you are sliding', 'image': 'https://media.rawg.io/media/achievements/ff4/ff45d5e7daa29b1847e0838f2e8236df.jpg', 'percent': '3.94'}]",10
914789,"[{'id': 1701463, 'name': 'What a journey it was...', 'description': 'Complete the Wall of Fame in the hideout.', 'image': 'https://media.rawg.io/media/achievements/667/667c1469f6523f8d631f5d65147f2f90_DNMgVUI.jpg', 'percent': '1.06'}, {'id': 1701442, 'name': 'I have to read ALL of these things?', 'description': 'Find and read every Vandelay Vlog on the campus.', 'image': 'https://media.rawg.io/media/achievements/e3a/e3aa71f06da9fea69b0745f44d665785_r7UjoVI.jpg', 'percent': '1.58'}, {'id': 1701477, 'name': ""I'm trying to FOCUS HERE!"", 'description': 'Find and shoot down every hovering announcement drone.', 'image': 'https://media.rawg.io/media/achievements/d7e/d7e7c5dd3b56ab1af75c37d1d206c9b2_s55TNjh.jpg', 'percent': '1.85'}, {'id': 1701439, 'name': ""I think that's enough health for now"", 'description': 'Fully upgrade your health bar by collecting all Life Gauges.', 'image': 'https://media.rawg.io/media/achievements/9ab/9ab1c273ebdd0c95f729bb6e80dc659a.jpg', 'percent': '1.85'}, {'id': 1701461, 'name': 'My Ultimate Setlist', 'description': 'Complete all the floors in the Rhythm Tower.', 'image': 'https://media.rawg.io/media/achievements/434/43488ec99c934c814a03a83d177bac5f_F1NLQ8O.jpg', 'percent': '2.11'}, {'id': 1701464, 'name': 'This was... not what I expected.', 'description': 'Have ""The Artist"" decorate your hideout.', 'image': 'https://media.rawg.io/media/achievements/9ad/9ad9ce1c69c24d69066085bb1c934983_oLo4S9d.jpg', 'percent': '2.11'}, {'id': 1701466, 'name': 'Have we met before?', 'description': ""Find Vandelay HR's investigator and hear all of its monologues."", 'image': 'https://media.rawg.io/media/achievements/472/47272b113acae4260a1cad5efc5059e9_Hi5h9F4.jpg', 'percent': '2.11'}, {'id': 1701479, 'name': 'I saw all those hits coming a measure away!', 'description': ""Perfectly parry every non-boss enemy's Rhythm Parry attack."", 'image': 'https://media.rawg.io/media/achievements/da4/da4916d04bb03b4706edbb9b5012a107_2cujeqU.jpg', 'percent': '2.11'}, {'id': 1701432, 'name': ""Didn't skip a beat!"", 'description': 'Finish the game and complete every level on the Rhythm Master difficulty.', 'image': 'https://media.rawg.io/media/achievements/817/817cedb459505c8d28671eefd7ab1533_rHa6K0W.jpg', 'percent': '2.37'}, {'id': 1701440, 'name': 'Fully Powered Up!', 'description': 'Fully upgrade your Reverb Gauge to the maximum.', 'image': 'https://media.rawg.io/media/achievements/686/686584cd00b353d9556b13b976b6392c_lx6HsiE.jpg', 'percent': '2.64'}]",10
